"No.","Time","Source","Destination","Protocol","Length","Info"
"4689","-245.206011","223.196.57.16","192.168.43.6","TCP","2762","[TCP Out-Of-Order] 443  >  53428 [ACK] Seq=6301 Ack=1979 Win=70656 Len=2696 TSval=1069532611 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4690","-245.172577","223.196.57.16","192.168.43.6","TCP","1414","443  >  53428 [ACK] Seq=11693 Ack=1979 Win=70656 Len=1348 TSval=1069532611 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4691","-245.150683","223.196.57.16","192.168.43.6","TCP","2762","443  >  53428 [ACK] Seq=13041 Ack=1979 Win=70656 Len=2696 TSval=1069532617 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4692","-245.105670","223.196.57.16","192.168.43.6","TCP","2762","443  >  53428 [ACK] Seq=15737 Ack=1979 Win=70656 Len=2696 TSval=1069532622 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4693","-245.068412","223.196.57.16","192.168.43.6","TCP","2762","443  >  53428 [ACK] Seq=18433 Ack=1979 Win=70656 Len=2696 TSval=1069532628 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4694","-245.023637","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=11693 Win=57728 Len=0 TSval=4113927384 TSecr=1069532611"
"4695","246.265793","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=13041 Win=56448 Len=0 TSval=4113927384 TSecr=1069532611"
"4696","-245.021697","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=15737 Win=53760 Len=0 TSval=4113927384 TSecr=1069532617"
"4697","246.265953","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=18433 Win=51072 Len=0 TSval=4113927384 TSecr=1069532622"
"4698","-245.020290","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=21129 Win=48384 Len=0 TSval=4113927384 TSecr=1069532628"
"4699","-245.019644","223.196.57.16","192.168.43.6","TLSv1.3","2762","Application Data [TCP segment of a reassembled PDU]"
"4700","245.031329","223.196.57.16","192.168.43.6","TCP","2762","443  >  53428 [ACK] Seq=23825 Ack=1979 Win=70656 Len=2696 TSval=1069532639 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4701","245.087245","223.196.57.16","192.168.43.6","TCP","1414","[TCP Previous segment not captured] 443  >  53428 [ACK] Seq=27869 Ack=1979 Win=70656 Len=1348 TSval=1069532645 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4702","245.111526","223.196.57.16","192.168.43.6","TCP","1414","[TCP Out-Of-Order] 443  >  53428 [ACK] Seq=26521 Ack=1979 Win=70656 Len=1348 TSval=1069532645 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4703","245.966883","223.196.57.16","192.168.43.6","TCP","1414","[TCP Previous segment not captured] 443  >  53428 [ACK] Seq=30565 Ack=1979 Win=70656 Len=1348 TSval=1069532650 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4704","245.180491","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=23825 Win=45696 Len=0 TSval=4113927384 TSecr=1069532633"
"4705","245.181828","192.168.43.6","223.196.57.16","TCP","78","53428  >  443 [ACK] Seq=1979 Ack=26521 Win=43008 Len=0 TSval=4113927384 TSecr=1069532639 SLE=27869 SRE=29217"
"4706","246.286319","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=29217 Win=40320 Len=0 TSval=4113927384 TSecr=1069532645"
"4707","245.183471","192.168.43.6","223.196.57.16","TCP","78","[TCP Dup ACK 4706#1] 53428  >  443 [ACK] Seq=1979 Ack=29217 Win=40320 Len=0 TSval=4113927384 TSecr=1069532645 SLE=30565 SRE=31913"
"4708","245.184029","223.196.57.16","192.168.43.6","TCP","1414","[TCP Retransmission] 443  >  53428 [ACK] Seq=29217 Ack=1979 Win=70656 Len=1348 TSval=1069532650 TSecr=4113927178"
"4709","245.203138","223.196.57.16","192.168.43.6","TCP","1414","[TCP Previous segment not captured] 443  >  53428 [ACK] Seq=33261 Ack=1979 Win=70656 Len=1348 TSval=1069532656 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4710","245.224112","223.196.57.16","192.168.43.6","TCP","1414","[TCP Out-Of-Order] 443  >  53428 [ACK] Seq=31913 Ack=1979 Win=70656 Len=1348 TSval=1069532656 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4711","245.255552","223.196.57.16","192.168.43.6","TCP","2762","443  >  53428 [ACK] Seq=34609 Ack=1979 Win=70656 Len=2696 TSval=1069532661 TSecr=4113927178 [TCP segment of a reassembled PDU]"
"4712","246.298145","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=31913 Win=37632 Len=0 TSval=4113927385 TSecr=1069532650"
"4713","245.302278","192.168.43.6","223.196.57.16","TCP","78","[TCP Dup ACK 4712#1] 53428  >  443 [ACK] Seq=1979 Ack=31913 Win=37632 Len=0 TSval=4113927385 TSecr=1069532650 SLE=33261 SRE=34609"
"4714","246.298353","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=34609 Win=34944 Len=0 TSval=4113927385 TSecr=1069532656"
"4715","245.303918","192.168.43.6","223.196.57.16","TCP","66","53428  >  443 [ACK] Seq=1979 Ack=37305 Win=32256 Len=0 TSval=4113927385 TSecr=1069532661"
